# ra   dec
1.501000589999999875e+02 2.190488000000000213e+00
1.502100759999999866e+02 1.695805000000000007e+00
1.500458030000000065e+02 2.092938999999999883e+00
1.500542450000000088e+02 1.842759000000000036e+00
1.500458409999999958e+02 2.140512999999999888e+00
1.500822110000000009e+02 1.899389999999999912e+00
1.500471180000000118e+02 2.804260000000000197e+00
1.500909149999999954e+02 2.203974000000000100e+00
1.500686440000000061e+02 2.852780999999999789e+00
1.502296749999999861e+02 2.527010999999999896e+00
1.502261430000000075e+02 2.253782999999999870e+00
1.502074599999999975e+02 2.254682999999999993e+00
1.502125699999999995e+02 2.834973000000000187e+00
1.502120859999999993e+02 2.321820999999999913e+00
1.504636450000000139e+02 1.818170000000000064e+00
1.504989500000000078e+02 2.724378000000000188e+00
1.505096069999999884e+02 2.455433000000000199e+00
1.505103579999999965e+02 2.462197999999999887e+00
1.498058739999999887e+02 2.233889000000000014e+00
1.498017049999999983e+02 2.215129999999999821e+00
1.497729490000000112e+02 1.613121999999999945e+00
1.498017580000000066e+02 2.269009000000000054e+00
1.497784690000000012e+02 2.256647000000000070e+00
1.497946110000000033e+02 2.571994999999999809e+00
1.498375039999999956e+02 2.628573999999999966e+00
1.496167389999999955e+02 2.730798000000000059e+00
1.496006329999999878e+02 1.819514000000000076e+00
1.496281370000000095e+02 2.132696000000000147e+00
1.495908740000000137e+02 2.127895000000000092e+00
1.496120310000000018e+02 1.872676999999999925e+00
1.496452700000000107e+02 2.160937999999999803e+00
1.496285860000000127e+02 2.178809999999999913e+00
1.496388929999999959e+02 2.550457000000000196e+00
1.496223999999999990e+02 1.948177999999999965e+00
1.496397049999999922e+02 2.274375000000000036e+00
1.501317549999999983e+02 1.799398999999999971e+00
1.501731900000000053e+02 2.478946000000000094e+00
1.501851210000000094e+02 2.778087000000000195e+00
1.501701070000000016e+02 1.621601000000000070e+00
1.501694559999999967e+02 1.627494999999999914e+00
1.501665999999999883e+02 2.501037000000000177e+00
1.501649280000000033e+02 2.503185999999999911e+00
1.501697949999999935e+02 2.532913999999999888e+00
1.501686310000000049e+02 2.528436999999999824e+00
1.501696630000000141e+02 2.546371000000000162e+00
1.501741470000000049e+02 2.871094999999999953e+00
1.501639380000000017e+02 2.827081999999999873e+00
1.501694329999999979e+02 2.850160999999999945e+00
1.501975529999999992e+02 1.657440999999999942e+00
1.501848730000000103e+02 2.552030999999999938e+00
1.501911980000000142e+02 2.596846999999999905e+00
1.501890679999999918e+02 2.581723000000000212e+00
1.501874699999999905e+02 2.577072999999999947e+00
1.500377110000000016e+02 2.708382999999999985e+00
1.500326300000000117e+02 2.426756999999999831e+00
1.500667479999999898e+02 2.181872999999999951e+00
1.500698429999999917e+02 2.487944000000000155e+00
1.500892790000000048e+02 1.604635999999999951e+00
1.500627379999999960e+02 2.215905999999999931e+00
1.500906530000000032e+02 2.557160000000000100e+00
1.500516580000000033e+02 2.548399999999999999e+00
1.500702970000000107e+02 1.926603000000000065e+00
1.500518409999999960e+02 1.931637999999999966e+00
1.500859089999999867e+02 2.845113000000000003e+00
1.500564180000000079e+02 2.845623999999999931e+00
1.501199489999999912e+02 2.473873999999999906e+00
1.501100130000000092e+02 2.194033000000000122e+00
1.501402180000000044e+02 2.859023000000000092e+00
1.501456479999999942e+02 1.947151000000000076e+00
1.501209870000000137e+02 2.274016000000000037e+00
1.501152350000000126e+02 1.688620000000000010e+00
1.500479850000000113e+02 2.237102000000000146e+00
1.501000019999999893e+02 2.247857000000000216e+00
1.500935020000000009e+02 2.603626999999999914e+00
1.500742319999999950e+02 1.666979999999999906e+00
1.500742129999999861e+02 1.665631000000000084e+00
1.500955810000000099e+02 1.683421999999999974e+00
1.500692209999999989e+02 2.016932999999999865e+00
1.500817110000000127e+02 1.701924999999999910e+00
1.500863019999999892e+02 1.727263999999999911e+00
1.500904909999999859e+02 2.042368999999999879e+00
1.500778960000000097e+02 2.065291000000000210e+00
1.500786339999999939e+02 2.077074999999999783e+00
1.500967320000000029e+02 2.370169000000000192e+00
1.500826390000000004e+02 2.394638000000000044e+00
1.501134539999999902e+02 1.752023000000000108e+00
1.501028399999999863e+02 1.797744999999999926e+00
1.499780749999999898e+02 1.748466999999999993e+00
1.502873989999999935e+02 2.439284999999999926e+00
1.502007969999999943e+02 1.919964999999999922e+00
1.501624429999999961e+02 1.929880000000000040e+00
1.501637110000000064e+02 2.228949000000000069e+00
1.501674160000000029e+02 2.246560999999999808e+00
1.502174660000000017e+02 2.308730999999999867e+00
1.502096789999999942e+02 2.607822999999999780e+00
1.502605529999999874e+02 1.849987000000000048e+00
1.502525939999999878e+02 2.779735000000000067e+00
1.502869939999999929e+02 2.522511999999999865e+00
1.503126149999999939e+02 2.234687000000000090e+00
1.502716000000000065e+02 1.641947000000000045e+00
1.502166459999999972e+02 2.344723999999999808e+00
1.501795439999999928e+02 2.354524000000000061e+00
1.502141709999999932e+02 1.772725000000000106e+00
1.505652910000000020e+02 1.735284000000000049e+00
1.505906150000000139e+02 1.746383999999999936e+00
1.502709059999999965e+02 1.827630000000000088e+00
1.504415639999999996e+02 2.580404000000000142e+00
1.504795469999999966e+02 2.312352000000000185e+00
1.504473629999999957e+02 1.741257000000000055e+00
1.504642059999999901e+02 2.344523000000000135e+00
1.504478019999999958e+02 2.355328000000000088e+00
1.504664099999999962e+02 2.660050000000000026e+00
1.504560830000000067e+02 2.102181999999999995e+00
1.504539650000000108e+02 2.087400000000000144e+00
1.501994840000000124e+02 2.009443000000000090e+00
1.502039750000000140e+02 2.359036999999999829e+00
1.502275480000000130e+02 2.404549999999999965e+00
1.502348829999999964e+02 2.141049999999999898e+00
1.506345750000000123e+02 2.839989999999999792e+00
1.506299150000000111e+02 1.642136999999999958e+00
1.506436510000000055e+02 1.964244000000000101e+00
1.506337190000000135e+02 2.613932000000000144e+00
1.505983760000000018e+02 2.616258000000000195e+00
1.505787070000000085e+02 1.852670000000000039e+00
1.505783250000000066e+02 1.843598000000000070e+00
1.505783360000000073e+02 1.843706000000000067e+00
